SEX_label,JWTR_label,SCHL_label,vehicle,PINCP,JWMNP,GRNTP,AGEP
Male,"Car, truck, or van","Some college, but less than 1 year",1,28000,15,1218,25
Female,Walked,Regular high school diploma,1,1000,20,1218,19
Female,"Car, truck, or van",Regular high school diploma,2,25000,5,850,52
Male,Bicycle,Bachelor's degree,2,44000,5,850,54
Male,"Car, truck, or van",Bachelor's degree,3,57000,5,3330,26
Male,"Car, truck, or van",Bachelor's degree,3,41000,35,3330,27
Male,"Car, truck, or van",Bachelor's degree,3,75000,5,3330,26
Male,"Car, truck, or van",Regular high school diploma,2,54000,157,0,51
Female,"Car, truck, or van","Some college, but less than 1 year",2,45000,157,0,39
Female,"Car, truck, or van","1 or more years of college credit, no degree",1,28000,20,2003,43
Male,"Car, truck, or van",Regular high school diploma,1,34000,60,2003,50
Male,Bus or trolley bus,Regular high school diploma,1,24000,60,2003,21
Male,"Car, truck, or van",Bachelor's degree,1,60000,10,0,62
Female,"Car, truck, or van",Master's degree,1,80000,20,0,48
Male,"Car, truck, or van",Bachelor's degree,1,110000,60,0,42
Female,"Car, truck, or van",Master's degree,2,150000,90,0,33
Male,Bicycle,Master's degree,2,25000,30,0,39
Female,"Car, truck, or van","1 or more years of college credit, no degree",2,72500,10,0,30
Male,"Car, truck, or van",Regular high school diploma,2,40000,10,0,39
Male,"Car, truck, or van","1 or more years of college credit, no degree",0,10000,25,1120,23
Male,"Car, truck, or van",Bachelor's degree,1,320000,40,0,56
Male,"Car, truck, or van","Some college, but less than 1 year",2,50000,60,1050,37
Male,"Car, truck, or van",Grade 7,2,21600,15,0,71
Female,"Car, truck, or van",Grade 7,2,35300,15,0,72
Female,"Car, truck, or van",Regular high school diploma,3,15000,15,0,60
Female,"Car, truck, or van",Regular high school diploma,3,12000,20,0,25
Male,"Car, truck, or van","Some college, but less than 1 year",0,129700,25,0,62
Female,"Car, truck, or van",Regular high school diploma,0,35000,25,0,54
Male,Bicycle,"1 or more years of college credit, no degree",4,6800,50,2599,20
Male,Walked,Regular high school diploma,4,5000,10,2599,21
Male,Walked,Regular high school diploma,4,9000,15,2599,20
Male,"Car, truck, or van","1 or more years of college credit, no degree",4,11080,10,2599,20
Male,Bicycle,"1 or more years of college credit, no degree",4,9000,50,2599,19
Female,"Car, truck, or van",Regular high school diploma,3,72000,30,0,48
Male,"Car, truck, or van",Regular high school diploma,3,335000,30,0,51
Male,"Car, truck, or van",Grade 10,3,12000,20,0,19
Female,"Car, truck, or van",Bachelor's degree,2,140000,45,0,57
Female,"Car, truck, or van",Bachelor's degree,1,45000,7,0,61
Female,"Car, truck, or van",Master's degree,2,20000,45,1332,42
Male,"Car, truck, or van",Regular high school diploma,2,51000,30,0,30
Male,"Car, truck, or van",Regular high school diploma,2,72000,3,0,41
Female,"Car, truck, or van",Bachelor's degree,2,25000,20,0,39
Male,"Car, truck, or van",GED or alternative credential,5,43000,40,2880,38
Female,"Car, truck, or van",Master's degree,4,30000,30,0,38
Male,"Car, truck, or van",Associate's degree,4,9200,60,0,51
